| TC ID | Module | Test Case Name | Description | Test Type | Preconditions | Steps / Input | Expected Result | Priority | Tags / Req ID |
| TC-32 | Search | Search with Filters | Filtered search | Black Box | Filterable data exists | POST /search (filters) | 200 OK, filtered list | Medium | filters |
| TC-33 | Search | Search Pagination | Paginated search results | Black Box | Large dataset | POST /search (page/limit) | Paginated response | Low | pagination |
| TC-34 | Search | Search Without Project | Missing project validation | Black Box | Invalid/missing project | POST /search | 400/422 validation error | High | negative |
| TC-35 | Search | Embedding Statistics | Retrieve embedding metrics | Black Box | Embeddings stored | GET /embeddings/stats | 200 OK, stats returned | Low | monitoring |
| TC-36 | Search | Autocomplete | Suggest search terms | Black Box | Index built | GET/POST /autocomplete | 200 OK, suggestions list | Low | UX |
| TC-37 | Security | Unauthorized Access | Protected API without token | Black Box | No/invalid token | Call secured endpoint | 401/403 Unauthorized | Critical | security |
| TC-38 | Chat | Send Chat Message | Send message to assistant | Black Box | Chat service available | POST /chat | 200 OK, AI response | Medium | chat |
| TC-39 | Chat | Chat With Context | Contextual conversation | Black Box | Chat history exists | POST /chat (with context) | 200 OK, contextual reply | Medium | context |
| TC-40 | Chat | Get Chat History | Retrieve conversation history | Black Box | Conversation exists | GET /chat/{id}/history | 200 OK, history list | Low | history |
| TC-41 | E2E | Complete Project Workflow | End-to-end project lifecycle | Black Box | All services running | Full flow execution | Workflow succeeds end-to-end | High | e2e |
| TC-42 | E2E | File Update Workflow | File update and re-index flow | Black Box | Existing file | Update file → reindex → search | Updated content found | High | e2e |
| TC-43 | E2E | Multi-file Search | Cross-file search & similarity | Black Box | Multiple files indexed | Run cross-file searches | Correct cross-file matches | Medium | similarity |
| TC-44 | Integration | Comprehensive Indexing | Full indexing pipeline | Black Box | NLP + vector DB live | Run complete pipeline | Pipeline completes successfully | Low | comprehensive |
| TC-45 | Integration | Embedding Integration | Embedding + vector DB integration | Black Box | Embedding service active | Generate and store/query vectors | Vectors stored & retrievable | Medium | integration |
| TC-46 | Integration | Async Indexing | Background async indexing | Black Box | Worker queue active | Trigger async tasks | Tasks complete successfully | Medium | async |
| TC-47 | Integration | Relationship Discovery | Entity relationship detection | Black Box | Extracted entities | Run relationship detection | Correct relationships generated | Low | NLP |
